#! FIELDS phi metad.bias der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  57
#! SET periodic_phi true
   -3.141592654  107.827407721   48.584090689
   -3.031361332  112.652278983   38.795498080
   -2.921130011  116.336178257   28.022890294
   -2.810898690  118.821619702   17.314362198
   -2.700667369  120.188343909    7.687472932
   -2.590436048  120.595880439    0.000838976
   -2.480204727  120.295607021   -5.160003538
   -2.369973405  119.574271137   -7.554688719
   -2.259742084  118.744551430   -7.231093356
   -2.149510763  118.078614379   -4.709709746
   -2.039279442  117.778409805   -0.759560737
   -1.929048121  117.933661722    3.503443493
   -1.818816799  118.532899085    7.008376836
   -1.708585478  119.427682062    8.764112726
   -1.598354157  120.378966886    8.036135793
   -1.488122836  121.093115614    4.595027426
   -1.377891515  121.285713096   -1.368581138
   -1.267660194  120.718352430   -9.116675275
   -1.157428872  119.235008174  -17.684874414
   -1.047197551  116.826396232  -25.854968683
   -0.936966230  113.582665093  -32.728792966
   -0.826734909  109.703630454  -37.424184203
   -0.716503588  105.450232721  -39.432181868
   -0.606272266  101.122732944  -38.743742884
   -0.496040945   97.016245888  -35.399077491
   -0.385809624   93.404445662  -29.702959320
   -0.275578303   90.530539555  -22.015169803
   -0.165346982   88.589173497  -12.841216670
   -0.055115661   87.721137215   -2.627488611
    0.055115661   88.011086835    8.054428949
    0.165346982   89.472290336   18.509767111
    0.275578303   92.034522014   27.901546787
    0.385809624   95.531497641   35.342470833
    0.496040945   99.689824188   39.824041895
    0.606272266  104.128515130   40.502775861
    0.716503588  108.408011737   36.688409920
    0.826734909  112.014918981   28.251658676
    0.936966230  114.467638564   15.597972443
    1.047197551  115.335562848   -0.260371847
    1.157428872  114.349591556  -17.744138757
    1.267660194  111.440062768  -34.960546824
    1.377891515  106.742885359  -49.915286709
    1.488122836  100.594652057  -60.865926697
    1.598354157   93.539623607  -66.443330084
    1.708585478   86.191150434  -65.986550188
    1.818816799   79.227331553  -59.527306691
    1.929048121   73.275187576  -47.794177155
    2.039279442   68.860240246  -31.946749826
    2.149510763   66.337217943  -13.633964959
    2.259742084   65.888979023    5.365308787
    2.369973405   67.494641209   23.379905244
    2.480204727   70.957576952   38.931597779
    2.590436048   75.945978505   50.929951571
    2.700667369   82.027555509   58.664816823
    2.810898690   88.715813668   61.952749537
    2.921130011   95.535413846   60.989312641
    3.031361332  102.033456045   56.282930427
