#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  33
#! SET periodic_phi true
   -3.141592654   16.088769904  -48.025987583
   -2.951193099    7.886734293  -36.998302073
   -2.760793544    2.367736210  -20.607875953
   -2.570393989    0.000000000   -4.903842047
   -2.379994435    0.106146594    4.697886653
   -2.189594880    1.260830722    6.146311080
   -1.999195325    2.072805412    1.826750326
   -1.808795770    1.935514584   -2.818781094
   -1.618396215    1.326597092   -2.408301115
   -1.427996661    1.493087703    5.345596518
   -1.237597106    3.700693341   18.388035926
   -1.047197551    8.500919389   31.623658317
   -0.856797996   15.416220940   39.725887488
   -0.666398442   23.121748968   39.643308281
   -0.475998887   29.999807946   31.235567512
   -0.285599332   34.631899293   16.535552722
   -0.095199777   36.092923297   -1.534845046
    0.095199777   34.049560277  -19.688808733
    0.285599332   28.835199765  -34.163216456
    0.475998887   21.543296350  -40.827225049
    0.666398442   14.004800710  -36.430540546
    0.856797996    8.425664502  -20.588813211
    1.047197551    6.677243339    2.898912394
    1.237597106    9.565380137   26.825136445
    1.427996661   16.440466732   43.715806641
    1.618396215   25.478620433   49.184752084
    1.808795770   34.431765052   43.156392253
    1.999195325   41.378191442   28.753500148
    2.189594880   45.105233481    9.971951891
    2.379994435   45.106109269   -9.932772930
    2.570393989   41.413325995  -28.399846460
    2.760793544   34.547259277  -42.794362990
    2.951193099   25.574373676  -50.068531153
