#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  33
#! SET periodic_phi true
   -3.141592654 -119.987083241  -53.944836229
   -2.951193099 -128.433828326  -34.408758072
   -2.760793544 -133.006564623  -14.180233037
   -2.570393989 -134.118504213    1.216932935
   -2.379994435 -133.068115751    8.225463602
   -2.189594880 -131.543720681    6.455720581
   -1.999195325 -130.967585462   -0.898771575
   -1.808795770 -131.873938525   -8.057374679
   -1.618396215 -133.648971156   -9.248860874
   -1.427996661 -134.823942602   -1.722178712
   -1.237597106 -133.844804733   12.698508901
   -1.047197551 -129.874180737   28.682030517
   -0.856797996 -123.185541170   40.297356770
   -0.666398442 -115.022310727   43.793463174
   -0.475998887 -107.052451596   38.354424300
   -0.285599332 -100.870709483   25.358057534
   -0.095199777  -97.699263934    7.173932467
    0.095199777  -98.254492437  -13.212500560
    0.285599332 -102.600368981  -31.841647924
    0.475998887 -109.928173320  -43.591439867
    0.666398442 -118.410915979  -43.263740990
    0.856797996 -125.411702066  -27.982851149
    1.047197551 -128.200454638    0.222641130
    1.237597106 -124.964563472   33.681577441
    1.427996661 -115.717102786   61.526747756
    1.618396215 -102.499655423   74.103509339
    1.808795770  -88.754096316   66.905227319
    1.999195325  -78.138360764   42.114262910
    2.189594880  -73.346805050    7.290988241
    2.379994435  -75.366799660  -27.837882995
    2.570393989  -83.399483672  -54.648472230
    2.760793544  -95.303953301  -67.988487543
    2.951193099 -108.350520855  -66.843134962
