#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  33
#! SET periodic_phi true
   -3.141592654   15.039300481  -55.723522223
   -2.951193099    6.221194530  -36.287805201
   -2.760793544    1.370741944  -15.059401735
   -2.570393989    0.212750487    1.621378336
   -2.379994435    1.422736360    9.409523971
   -2.189594880    3.181790685    7.645097972
   -1.999195325    3.939059033   -0.233015754
   -1.808795770    3.097525040   -8.022147082
   -1.618396215    1.279772385   -9.671979035
   -1.427996661    0.000000000   -2.302015973
   -1.237597106    0.877805006   12.324703437
   -1.047197551    4.826337207   28.923038360
   -0.856797996   11.646421852   41.494685207
   -0.666398442   20.135468416   46.008646141
   -0.475998887   28.596251177   41.209156050
   -0.285599332   35.321259490   28.082018804
   -0.095199777   38.922990707    8.873070728
    0.095199777   38.539207178  -13.124269138
    0.285599332   34.056275430  -33.260796588
    0.475998887   26.377770288  -45.647585047
    0.666398442   17.537804954  -44.742694889
    0.856797996   10.378491899  -28.076547799
    1.047197551    7.693977189    1.306915657
    1.237597106   11.156742792   34.752896975
    1.427996661   20.490050683   61.192892968
    1.618396215   33.453502363   71.820480405
    1.808795770   46.632654409   63.505035518
    1.999195325   56.627630902   39.323225843
    2.189594880   61.063230078    6.516661055
    2.379994435   59.103533535  -26.512506844
    2.570393989   51.425414602  -52.501817201
    2.760793544   39.869140648  -66.694687714
    2.951193099   26.905150121  -67.289721514
